TICKER,Month,VOL,RETC,RETN,sprtrn,SPREAD,OSC,CAPEI,bm,pe_op_basic,pe_exi,ps,pcf,dpr,npm,opmad,roa,roe,efftax,totdebt_invcap,capital_ratio,int_totdebt,cash_lt,invt_act,rect_act,debt_ebitda,short_debt,ocf_lct,cash_debt,fcf_ocf,de_ratio,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,ptb,PEG_trailing,divyield,b_mkt,alpha,ivol,tvol
MSFT,200912,9238424,0.036382,-0.075459,0.017771,0.02,0.059711286,18.956,0.181,19.291,19.792,4.77,12.334,0.336,0.245,0.341,0.314,0.381,0.265,0.099,0.047,0.013,0.805,0.019,0.222,0.181,0.524,0.843,0.497,0.873,0.933,544.553,1.106,1.708,1.742,274.18124,10.912,0.766,1.41,1.48,2.938,0.156,0.024,0,6.492,2.206,0.0171,1.2469,0.0137,0.0837,0.1001
MSFT,201001,13640561,-0.075459,0.022001,-0.036974,0.02,0.103619588,17.445,0.181,17.835,18.299,4.39,11.351,0.336,0.245,0.341,0.314,0.381,0.265,0.099,0.047,0.013,0.805,0.019,0.222,0.181,0.524,0.843,0.497,0.873,0.933,544.553,1.106,1.708,1.742,135.620875,10.912,0.766,1.41,1.48,2.938,0.156,0.024,0,5.975,2.039,0.0185,1.2478,0.0134,0.0838,0.1001
MSFT,201002,10779015,0.022001,0.021538,0.028514,0.01,0.043564702,17.365,0.166,15.332,15.84,4.284,11.996,0.284,0.277,0.372,0.332,0.427,0.265,0.114,0.065,0.013,0.873,0.016,0.206,0.202,0.43,0.796,0.497,0.89,0.916,544.553,1.231,1.819,1.849,139.2089167,11.904,0.756,1.355,1.449,2.626,0.146,0.024,0,5.63,0.91,0.0181,1.2461,0.0133,0.0838,0.1001
MSFT,201003,11181446,0.021538,0.042595,0.058796,0.01,0.052923602,17.722,0.166,15.662,16.181,4.372,12.243,0.284,0.277,0.372,0.332,0.427,0.265,0.114,0.065,0.013,0.873,0.016,0.206,0.202,0.43,0.796,0.497,0.89,0.916,544.553,1.231,1.819,1.849,140.4770833,11.904,0.756,1.355,1.449,2.626,0.146,0.024,0,5.746,0.93,0.0178,1.2421,0.0138,0.0829,0.0994
MSFT,201004,13259805,0.042595,-0.150811,0.014759,0.01,0.073030948,18.48,0.166,16.329,16.87,4.56,12.767,0.284,0.277,0.372,0.332,0.427,0.265,0.114,0.065,0.013,0.873,0.016,0.206,0.202,0.43,0.796,0.497,0.89,0.916,544.553,1.231,1.819,1.849,140.2612083,11.904,0.756,1.355,1.449,2.626,0.146,0.024,0,5.992,0.97,0.017,1.2386,0.0137,0.0829,0.0992
MSFT,201005,17259734,-0.150811,-0.10814,-0.081976,0,0.226744186,15.296,0.181,13.163,13.368,3.797,10.135,0.266,0.29,0.374,0.321,0.425,0.265,0.128,0.081,0.013,0.924,0.014,0.192,0.238,0.369,0.827,0.497,0.906,0.912,544.553,1.334,1.904,1.932,245.27496,12.411,0.729,1.282,1.395,2.368,0.144,0.024,0,4.859,1.119,0.0202,1.2488,0.0133,0.083,0.0998
MSFT,201006,16793127,-0.10814,0.121686,-0.053882,0.01,0.167318557,13.47,0.181,11.74,11.922,3.344,8.925,0.266,0.29,0.374,0.321,0.425,0.265,0.128,0.081,0.013,0.924,0.014,0.192,0.238,0.369,0.827,0.497,0.906,0.912,544.553,1.334,1.904,1.932,244.27136,12.411,0.729,1.282,1.395,2.368,0.144,0.024,0,4.279,0.998,0.0226,1.2505,0.0136,0.0827,0.0996
MSFT,201007,14132280,0.121686,-0.085819,0.068778,0.02,0.116234018,15.109,0.181,13.168,13.373,3.751,10.011,0.266,0.29,0.374,0.321,0.425,0.265,0.128,0.081,0.013,0.924,0.014,0.192,0.238,0.369,0.827,0.497,0.906,0.912,544.553,1.334,1.904,1.932,243.9052,12.411,0.729,1.282,1.395,2.368,0.144,0.024,0,4.799,1.12,0.0201,1.2638,0.0139,0.0825,0.0998
MSFT,201008,12827745,-0.085819,0.043682,-0.047449,0.01,0.12209674,13.071,0.233,11.016,11.174,3.25,8.435,0.242,0.3,0.387,0.325,0.436,0.25,0.116,0.097,0.026,0.921,0.013,0.234,0.223,0.168,0.921,0.603,0.918,0.865,159.98,1.407,2.101,2.129,245.31792,13.573,0.762,1.222,1.353,2.116,0.139,0.026,0,4.376,0.699,0.0222,1.2672,0.0136,0.0825,0.1
MSFT,201009,12779695,0.043682,0.088812,0.087551,0.01,0.064516129,13.498,0.233,11.498,11.662,3.356,8.71,0.242,0.3,0.387,0.325,0.436,0.25,0.116,0.097,0.026,0.921,0.013,0.234,0.223,0.168,0.921,0.603,0.918,0.865,159.98,1.407,2.101,2.129,245.23972,13.573,0.762,1.222,1.353,2.116,0.139,0.026,0,4.519,0.73,0.0212,1.2547,0.0127,0.0821,0.0996
